	Ceftazidime	Pip.Tazo	Gentamicin	Imipenem	Amikacin	Amp.Sulbactam	Trimeth.Sulfa	Meropenem	Ciprofloxacin	Cefepime	Doripenem	Polymixin_B	Tigecycline	Tobramycin	Tetracycline
SAMN02371034 - SRR1008858	7	12	6	8	7	22	6	6	6	7	6	15	12	-1	-1
SAMN02371032 - SRR1008856	6	6	17	8	20	6	6	6	6	9	6	20	20	-1	-1
SAMN02371031 - SRR1008854	6	8	12	9	6	13	6	-1	6	10	-1	16	16	23	-1
SAMN02371031 - SRR1008855	6	8	12	9	6	13	6	-1	6	10	-1	16	16	23	-1
SAMN02371028 - SRR1008849	6	6	6	6	12	22	6	-1	6	15	-1	17	19	6	-1
SAMN02371028 - SRR1008850	6	6	6	6	12	22	6	-1	6	15	-1	17	19	6	-1
SAMN02371027 - SRR1008846	6	6	6	6	10	6	6	-1	6	6	-1	17	19	24	-1
SAMN02371027 - SRR1008847	6	6	6	6	10	6	6	-1	6	6	-1	17	19	24	-1
SAMN02371027 - SRR1008848	6	6	6	6	10	6	6	-1	6	6	-1	17	19	24	-1
SAMN02371025 - SRR1008842	6	15	6	9	17	23	6	-1	6	18	-1	16	17	17	-1
SAMN02371025 - SRR1008843	6	15	6	9	17	23	6	-1	6	18	-1	16	17	17	-1
SAMN02371024 - SRR1008841	6	13	13	16	18	18	6	-1	6	6	-1	14	13	18	-1
SAMN02370992 - SRR1006421	6	9	9	9	14	15	6	-1	6	12	-1	16	16	22	-1
SAMN02371037 - SRR1008861	6	6	18	8	21	11	24	-1	6	12	-1	16	15	21	-1
SAMN02371038 - SRR1008862	6	6	10	10	14	11	6	-1	6	11	-1	16	17	23	-1
SAMN02371038 - SRR1008863	6	6	10	10	14	11	6	-1	6	11	-1	16	17	23	-1
SAMN02371033 - SRR1008857	14	6	6	8	23	10	23	6	6	10	6	14	18	-1	-1
SAMN02371030 - SRR1008853	9	16	6	26	22	24	6	-1	6	17	-1	16	19	21	-1
SAMN02371029 - SRR1008851	6	6	10	6	12	6	6	-1	6	6	-1	17	19	24	-1
SAMN02371029 - SRR1008852	6	6	10	6	12	6	6	-1	6	6	-1	17	19	24	-1
SAMN02371026 - SRR1008844	6	6	9	9	10	6	6	-1	6	6	-1	13	16	21	-1
SAMN02371026 - SRR1008845	6	6	9	9	10	6	6	-1	6	6	-1	13	16	21	-1
SAMN02371023 - SRR1008840	6	9	19	10	20	15	6	-1	6	12	-1	17	17	20	-1
SAMN02371021 - SRR1008836	6	10	20	6	23	19	6	-1	6	13	-1	17	20	22	-1
SAMN02371021 - SRR1008837	6	10	20	6	23	19	6	-1	6	13	-1	17	20	22	-1
SAMN02371039 - SRR1008864	6	6	11	6	16	6	6	-1	6	6	-1	15	17	24	-1
SAMN02371039 - SRR1008865	6	6	11	6	16	6	6	-1	6	6	-1	15	17	24	-1
SAMN02380502 - SRR1015238	12	13	8	11	25	20	6	6	6	20	8	15	19	-1	-1
SAMN02380502 - SRR1015239	12	13	8	11	25	20	6	6	6	20	8	15	19	-1	-1
SAMN02380507 - SRR1015248	6	6	20	6	12	6	6	6	6	8	6	15	21	-1	-1
SAMN02380507 - SRR1015249	6	6	20	6	12	6	6	6	6	8	6	15	21	-1	-1
SAMN02380507 - SRR1015250	6	6	20	6	12	6	6	6	6	8	6	15	21	-1	-1
SAMN02380508 - SRR1015262	25	25	25	31	26	30	25	25	30	28	30	15	24	-1	-1
SAMN02380508 - SRR1015263	25	25	25	31	26	30	25	25	30	28	30	15	24	-1	-1
SAMN02380511 - SRR1015268	20	21	24	30	24	26	17	20	26	22	24	15	22	-1	-1
SAMN02380522 - SRR1015283	21	23	21	30	22	26	20	24	27	25	25	14	23	-1	-1
SAMN02380522 - SRR1015284	21	23	21	30	22	26	20	24	27	25	25	14	23	-1	-1
SAMN02380525 - SRR1015291	25	25	24	35	25	30	25	28	20	27	27	15	26	-1	-1
SAMN02380525 - SRR1015292	25	25	24	35	25	30	25	28	20	27	27	15	26	-1	-1
SAMN02380528 - SRR1015299	6	7	7	7	23	7	6	6	6	10	6	16	16	-1	-1
SAMN02380531 - SRR1015318	21	15	12	6	23	19	6	6	6	17	6	15	19	-1	-1
