Centroid ID	Annotation
542670	3-hydroxyl-CoA	dehydrogenase, NAD binding domain protein
718301	ABC transporter family protein
788064	ABC transporter family protein
713469	acetyltransferase family protein
317070	acyl-CoA dehydrogenase, C-terminal domain protein
185135	addiction module toxin, Txe/YoeB family
789727	addiction module toxin, Txe/YoeB family
412733	alkylhydroperoxidase AhpD family core domain protein
567900	ankyrin repeats family protein
507216	antitoxin of toxin-antitoxin stability system N-terminal family protein
789906	BAAT / Acyl-CoA thioester hydrolase C terminal family protein
788057	bacterial extracellular solute-binding, 5 Middle family protein
241962	bacterial regulatory , Fis family protein
100555	bacterial transcriptional regulator family protein
718475	beta-lactamase family protein
104037	binding-protein-dependent transport system inner membrane component family protein
335056	capsular exopolysaccharide family domain protein
630564	capsular exopolysaccharide family domain protein
252121	citrate transporter family protein
475293	class II Aldolase and Adducin N-terminal domain protein
100552	coA-transferase III family protein
254612	cobQ/CobB/MinD/ParA nucleotide binding domain protein
583453	cobQ/CobB/MinD/ParA nucleotide binding domain protein
628837	cobQ/CobB/MinD/ParA nucleotide binding domain protein
104171	conserved hypothetical protein
104507	conserved hypothetical protein
104696	conserved hypothetical protein
142532	conserved hypothetical protein
1666	conserved hypothetical protein
1668	conserved hypothetical protein
184601	conserved hypothetical protein
185111	conserved hypothetical protein
185121	conserved hypothetical protein
186609	conserved hypothetical protein
306889	conserved hypothetical protein
314867	conserved hypothetical protein
319433	conserved hypothetical protein
320111	conserved hypothetical protein
320421	conserved hypothetical protein
357107	conserved hypothetical protein
359586	conserved hypothetical protein
398655	conserved hypothetical protein
413745	conserved hypothetical protein
443083	conserved hypothetical protein
456335	conserved hypothetical protein
475251	conserved hypothetical protein
490202	conserved hypothetical protein
490203	conserved hypothetical protein
490730	conserved hypothetical protein
505	conserved hypothetical protein
518449	conserved hypothetical protein
518469	conserved hypothetical protein
543458	conserved hypothetical protein
568439	conserved hypothetical protein
630646	conserved hypothetical protein
715066	conserved hypothetical protein
715650	conserved hypothetical protein
724834	conserved hypothetical protein
787821	conserved hypothetical protein
788739	conserved hypothetical protein
790527	conserved hypothetical protein
140781	conserved hypothetical protein
141573	conserved hypothetical protein
166152	conserved hypothetical protein
185113	conserved hypothetical protein
185123	conserved hypothetical protein
186057	conserved hypothetical protein
241959	conserved hypothetical protein
320060	conserved hypothetical protein
333448	conserved hypothetical protein
3381	conserved hypothetical protein
357069	conserved hypothetical protein
357091	conserved hypothetical protein
3747	conserved hypothetical protein
397861	conserved hypothetical protein
455257	conserved hypothetical protein
474942	conserved hypothetical protein
489718	conserved hypothetical protein
502088	conserved hypothetical protein
507208	conserved hypothetical protein
514787	conserved hypothetical protein
528051	conserved hypothetical protein
542183	conserved hypothetical protein
568442	conserved hypothetical protein
583673	conserved hypothetical protein
598672	conserved hypothetical protein
629797	conserved hypothetical protein
630523	conserved hypothetical protein
696465	conserved hypothetical protein
712596	conserved hypothetical protein
716754	conserved hypothetical protein
720074	conserved hypothetical protein
728419	conserved hypothetical protein
791500	conserved hypothetical protein
800887	conserved hypothetical protein
239443	conserved hypothetical protein
250287	conserved hypothetical protein
251703	conserved hypothetical protein
